name,mass,distance
HATS-12 b,759.6137,746.138
HATS-13 b,172.58169,421.855
HATS-14 b,340.39593,513.011
HATS-15 b,689.6911,1139.55
HATS-16 b,1039.3041,757.044
HATS-17 b,425.25654,400.331
HATS-18 b,629.14449,624.368
HATS-2 b,427.463,341.925
HATS-22 b,870.8542,229.518
HATS-23 b,467.2101,639.004
HATS-24 b,718.2958,494.182
HATS-25 b,194.82979,471.158
HATS-26 b,206.5895,861.843
HATS-27 b,168.4499,816.988
HATS-28 b,213.58176,535.383
HATS-29 b,207.54299,353.891
HATS-3 b,340.382,411.211
HATS-30 b,224.38798,342.14
HATS-31 b,279.6904,773.974
HATS-32 b,292.4036,745.116
HATS-33 b,378.85336,248.46
HATS-34 b,299.07803,508.842
HATS-35 b,388.38826,514.555
HATS-36 b,1022.14128,856.436
HATS-37 A b,31.46517,211.896
HATS-38 b,23.51942,343.525
HATS-39 b,200.2329,878.521
HATS-4 b,420.471,416.459
HATS-40 b,505.3497,1342.29
HATS-41 b,3082.951,737.668
HATS-42 b,597.5204,800.377
HATS-43 b,82.95363,362.273
HATS-44 b,177.9848,446.035
HATS-45 b,222.481,772.11
HATS-46 b,54.98459,453.808
HATS-47 b,117.27927,300.67
HATS-48 A b,77.23269,263.609
HATS-49 b,112.19399,324.413
HATS-5 b,75.323,246.384
HATS-50 b,123.9537,756.742
HATS-51 b,244.09344,389.57
HATS-52 b,711.9392,555.134
HATS-53 b,189.10885,585.77
HATS-54 b,239.32479,748.585
HATS-55 b,292.72143,609.838
HATS-56 b,191.33366,564.409
HATS-57 b,1000.21101,279.485
HATS-58 A b,327.3649,403.591
HATS-59 b,256.17098,642.884
HATS-59 c,4036.441,642.884
HATS-6 b,101.38777,169.318
HATS-60 b,210.40346,486.474
HATS-61 b,1080.622,679.761
HATS-62 b,56.89157,523.067
HATS-63 b,305.1168,623.232
HATS-64 b,305.1168,1080.15
HATS-65 b,260.93843,493.32
HATS-66 b,1694.0339,1477.98
HATS-67 b,460.8535,960.109
HATS-68 b,410.0007,603.955
HATS-69 b,183.38791,414.537
HATS-7 b,38.1396,240.707
HATS-70 b,4100.007,1458.83
HATS-71 b,117.5971,140.225
HATS-72 b,39.85588,127.589
HATS-74 A b,464.02947,299.389
HATS-75 b,156.05375,194.964
HATS-76 b,835.57088,385.689
HATS-77 b,436.69623,436.176
HATS-8 b,43.86054,794.637
HATS-9 b,266.02371,638.7
HD 100546 b,239000,109.677
HD 100655 b,511.7063,137.178
HD 100777 b,327.3649,49.5336
HD 10180 c,13.1,38.9607
HD 10180 d,11.75,38.9607
HD 10180 e,25.1,38.9607
HD 10180 f,23.9,38.9607
HD 10180 g,21.4,38.9607
HD 10180 h,64.4,38.9607
HD 101930 b,79.4575,30.0274
HD 102117 b,54.0311,39.5792
HD 102195 b,130.3103,29.3386
HD 102272 b,1570.0802,347.097
HD 102329 b,2593.4928,217.107
HD 102329 c,483.1016,217.107
HD 102365 b,16,9.2894
HD 102843 b,113.9,62.758
HD 102956 b,305.1168,121.89
HD 103197 b,28.6047,57.1463
HD 103720 b,197.046,45.5352
HD 103774 b,116,56.4089
HD 103891 b,457.67291,55.5213
HD 103949 b,11.2,26.4997
HD 104067 b,50.8528,20.3632
HD 10442 b,472.61321,135.374
HD 104985 b,2637.9,100.576
HD 105618 b,25.14472,70.0837
HD 105618 c,8550.26928,70.0837
HD 105779 b,203.41018,55.2411
HD 106252 b,3178.28407,38.185
HD 106270 b,3219.6179,93.808
